"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"Dijual Rumah Asri Bebas Banjir di Bukit Golf Riverside Harga Nego Biaya All In Siap KPR","Bukit Golf Riverside, Jatisampurna, Bekasi, Jawa Barat","Rp","2,55 M","3","3","160 m²","Rp 15.454.545 per m²","",""
"Jual Rumah Siap Huni Di Srimaya Residence Bekasi Harga All In Siap KPR DP Ringan","Srimaya Residence, Setu, Bekasi, Jawa Barat","Rp","499 jt","2","1","30 m²","Rp 8.316.667 per m²","",""
"Kodau jatimekar","Jl flamboyan III no . 69, Bekasi Selatan, Bekasi, Jawa Barat","Rp","1,15 jt","3","3","83 m²","Rp 14.375 per m²","",""
"Rumah 2 Lantai Siap Huni Dekat Ke Jalan Raya Bogor, Juanda, dan Margonda Depok","Jalan Haji Apat Sukmajaya Depok, Bekasi Selatan, Bekasi, Jawa Barat","Rp","1,2 M","3","2","77 m²","Rp 20.000.000 per m²","",""
"Ready Stok, DP 5%, Free Biaya-Biaya di Cluster baru Jatiluhur","Jatiluhur, jatiasih, Jatiasih, Bekasi, Jawa Barat","","695","2","2","58 m²","Rp 11 per m²","",""
"Kenanga residence","Jl. Kenanga - Harjamukti jati sampurna Bekasi, Bekasi Timur, Bekasi, Jawa Barat","Rp","690 jt","3","2","60 m²","Rp 9.452.055 per m²","",""
"Tropical Townhouse Jatiwaringin","Jl. Antara Dalam, RT.002/RW.019, Jatimakmur, Jati Makmur, Bekasi, Jawa Barat","Rp","900 jt","2","2","65 m²","Rp 16.363.636 per m²","",""
"Jual Rumah 2 Lantai Siap Huni Strategis Dekat Jatiasih Harga All In Bisa Nego Siap KPR","Lavender Residence, Jatiasih, Bekasi, Jawa Barat","Rp","1,08 M","2","2","90 m²","Rp 10.285.714 per m²","",""
"Jual Cepat Rumah Siap Huni Dekat Bantargebang Bekasi Bebas Banjir Harga All In Siap KPR","Bantargebang, Bekasi, Jawa Barat","Rp","799 jt","2","1","70 m²","Rp 8.237.113 per m²","",""
"Jual Rumah di Pondok Melati Bekasi Bebas Banjir Siap Huni Harga All In Siap KPR","Cluster Puri Zalfari, Pondokmelati, Bekasi, Jawa Barat","Rp","799 jt","2","1","70 m²","Rp 8.237.113 per m²","",""
"Rumah Siap Huni di komplek Pondok Pekayon Indah Kota Bekasi, Dijual Cepat","Bekasi, Bekasi, Jawa Barat","Rp","2,5 M","4","5","250 m²","Rp 16.666.667 per m²","",""
"De Azra Residence","Jalan bina asih 2, Jatiasih, Bekasi, Jawa Barat","Rp","1,7 M","3","3","138 m²","Rp 21.250.000 per m²","",""
"Jual Rumah Siap Huni Di Premier Savanna Vida Dekat Jatiasih Bekasi Harga All In Siap KPR","Premier Savanna Vida, Jatiasih, Bekasi, Jawa Barat","Rp","1,02 M","3","2","69 m²","Rp 11.333.333 per m²","",""
"Summarecon Crown Gading Bekasi","Cluster Regina, Bekasi, Bekasi, Jawa Barat","Rp","2,11 M","5","4","120 m²","Rp 19.537.037 per m²","",""
"Dijual Rumah Minimalis Siap Huni di Royal Park Residence Harga All In Siap KPR","Mustikajaya, Bekasi, Jawa Barat","Rp","1,2 M","3","2","90 m²","Rp 7.272.727 per m²","",""
"Jual Rumah Siap Huni Cluster Puri Zalfari Dekat Jati Warna Bekasi Harga All In Nego Bisa KPR","Jati Warna, Bekasi, Jawa Barat","Rp","799 jt","2","1","70 m²","Rp 8.237.113 per m²","",""
"Dijual Rumah Bebas Banjir Siap Huni Dekat Jati Warna Bekasi Harga All In Bisa Nego Siap KPR","Jati Warna, Bekasi, Jawa Barat","Rp","810 jt","2","1","45 m²","Rp 6.923.077 per m²","",""
"Rumah Minimalis Strategis Dekat Bantar Gebang Bekasi Siap Huni Harga All In Siap KPR DP Ringan","Limus Pratama Regency, Bantargebang, Bekasi, Jawa Barat","Rp","599 jt","2","2","105 m²","Rp 5.704.762 per m²","",""
"Jual Rumah Siap Huni Di Premier Savanna Vida Dekat Galaxy Bekasi Harga All In Siap KPR","Premier Savanna Vida, Galaxy, Bekasi, Jawa Barat","Rp","1,02 M","3","2","69 m²","Rp 11.333.333 per m²","",""
"Jual Rumah Siap Huni Strategis Dekat Harapan Indah Bekasi Harga Nego Biaya All In Siap KPR","Perumahan Telaga Mas, Harapan Indah, Bekasi, Jawa Barat","Rp","950 jt","3","2","87 m²","Rp 14.393.939 per m²","",""
"Jual Rumah Strategis Di Vida Bumipala Taman Durian Bebas Banjir Harga All In Siap KPR","Vida Bumipala Taman Durian, Mustikajaya, Bekasi, Jawa Barat","Rp","780 jt","2","2","60 m²","Rp 8.666.667 per m²","",""
"Jual Rumah Siap Huni Strategis Di Vida Bekasi Harga Nego Biaya All In Siap KPR","Vida Bekasi Cluster Frambosa, Mustikajaya, Bekasi, Jawa Barat","Rp","990 jt","3","3","164 m²","Rp 9.166.667 per m²","",""
"Rumah murah cantik minimalis cluster asri 2 lantai dekat ke pintu tol Cibubur","Jln kranggan permai Cibubur Jatisampurna Bekasi, Cibubur, Bekasi, Jawa Barat","Rp","675 jt","3","2","60 m²","Rp 11.637.931 per m²","",""
"Summarecon Crown Gading","Cluster Jasmia, Bekasi, Bekasi, Jawa Barat","Rp","2,713 M","4","4","149 m²","Rp 20.096.296 per m²","",""
"Jual Rumah Minimalis 2 Lantai Siap Huni di Lavender Residence Harga All In Bisa Nego Siap KPR","Jatisampurna, Bekasi, Jawa Barat","Rp","1,08 M","2","2","90 m²","Rp 10.285.714 per m²","",""
"Jual Cepat Rumah Strategis di Cluster Pagar Hijau Dekat Galaxy Bekasi Harga All InNego Siap KPR","Galaxy, Bekasi, Jawa Barat","Rp","810 jt","2","1","45 m²","Rp 6.923.077 per m²","",""
"Jual Rumah Siap Huni Strategis Dekat Bekasi Barat Harga Nego Biaya All In Siap KPR","Perumahan Telaga Mas, Bekasi Barat, Bekasi, Jawa Barat","Rp","950 jt","3","2","87 m²","Rp 14.393.939 per m²","",""
"Jual Rumah Seken Terawat Siap Huni Di Vida Bekasi Harga Nego Biaya All In Siap KPR","Vida Bekasi Cluster Frambosa, Bantargebang, Bekasi, Jawa Barat","Rp","990 jt","3","3","164 m²","Rp 9.166.667 per m²","",""
"Jual Cepat Rumah Unit Pojokan Siap Huni Harga All In Siap KPR di Cluster Batara Residence","Cluster Batara Residence, Mustikajaya, Bekasi, Jawa Barat","Rp","680 jt","2","1","36 m²","Rp 9.444.444 per m²","",""
"Perumahan firdaus residence 3","Cikarageman, Cikarang Selatan, Bekasi, Jawa Barat","Rp","340,83 jt","2","1","32 m²","Rp 5.164.091 per m²","",""
"Dijual Cepat Rumah Summarecon Bekasi","Bekasi Barat, Bekasi, Jawa Barat","Rp","2,2 M","3","3","132 m²","Rp 17.460.317 per m²","",""
"Jual Rumah Cepat Siap Huni di Metland Cileungsi Dekat Bantar Gebang Harga All In Siap KPR","Bantargebang, Bekasi, Jawa Barat","Rp","630 jt","2","1","70 m²","Rp 7.500.000 per m²","",""
"Dijual Rumah Cluster Puri Zalfari di Jatiasih Bekasi Siap Huni Harga All In Siap KPR","Cluster Puri Zalfari, Jatiasih, Bekasi, Jawa Barat","Rp","799 jt","2","1","70 m²","Rp 8.237.113 per m²","",""
"Jual Rumah Siap Huni Strategis Dekat Jatiasih Harga Nego Biaya All In Siap KPR","Perumahan Grand Mutiara 2, Jatiasih, Bekasi, Jawa Barat","Rp","1,56 M","3","3","240 m²","Rp 12.580.645 per m²","",""
