"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 4 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","3","","120 m²","170 m²"
"Rp 13 Miliar","Pantai Indah Kapuk, Jakarta Utara","","","","250 m²","360 m²"
"Rp 7,3 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","2","1","200 m²","350 m²"
"Rp 5,9 Miliar","Cinere, Jakarta Selatan","3","2","2","440 m²","200 m²"
"Rp 3,95 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","3","2","120 m²","170 m²"
"Rp 12,5 Miliar","Pantai Indah Kapuk, Jakarta Utara","4","4","1","250 m²","300 m²"
"Rp 3,15 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","3","1","100 m²","150 m²"
"Rp 3,1 Miliar","Green Lake City, Jakarta Barat","3","4","2","128 m²","156 m²"
"Rp 4,9 Miliar","Permata Buana, Jakarta Barat","3","2","","144 m²","250 m²"
"Rp 3,35 Miliar","Jelambar, Jakarta Barat","4","2","2","112 m²","170 m²"
"Rp 20 Miliar","Menteng, Jakarta Pusat","4","","","486 m²","500 m²"
"Rp 69 Miliar","Menteng, Jakarta Pusat","5","","","474 m²","1200 m²"
"Rp 19,5 Miliar","Menteng, Jakarta Pusat","4","4","","323 m²","400 m²"
"Rp 6,75 Miliar","Lebak Bulus, Jakarta Selatan","3","3","1","256 m²","250 m²"
"Rp 1,69 Miliar","Jelambar, Jakarta Barat","3","3","1","45 m²","110 m²"
"Rp 3 Miliar","Jelambar, Jakarta Barat","4","3","2","120 m²","200 m²"
"Rp 1,15 Miliar","Jagakarsa, Jakarta Selatan","2","2","","44 m²","50 m²"
"Rp 2,6 Miliar","Jelambar, Jakarta Barat","3","3","1","75 m²","146 m²"
"Rp 2,3 Miliar","Jelambar, Jakarta Barat","4","3","1","55 m²","122 m²"
"Rp 25 Miliar","Pantai Indah Kapuk, Jakarta Utara","4","4","2","486 m²","600 m²"
"Rp 2,6 Miliar","Jelambar, Jakarta Barat","3","3","","75 m²","150 m²"
"Rp 2,3 Miliar","Jelambar, Jakarta Barat","3","3","","55 m²","115 m²"
"Rp 3 Miliar","Jelambar, Jakarta Barat","3","3","","120 m²","185 m²"
"Rp 1,75 Miliar","Tanjung Duren, Jakarta Barat","2","2","1","56 m²","105 m²"
"Rp 390 Juta","Matraman, Jakarta Timur","2","1","","16 m²","31 m²"
"Rp 16 Miliar","Intercon, Jakarta Barat","6","4","","672 m²","800 m²"
"Rp 10,5 Miliar","Intercon, Jakarta Barat","4","4","2","300 m²","290 m²"
"Rp 8,5 Miliar","Permata Buana, Jakarta Barat","","","","250 m²","470 m²"
"Rp 11 Miliar","Permata Buana, Jakarta Barat","5","6","","320 m²","500 m²"
"Rp 7,5 Miliar","Permata Buana, Jakarta Barat","2","2","","180 m²","260 m²"
"Rp 4,2 Miliar","Joglo, Jakarta Barat","4","4","","220 m²","400 m²"
"Rp 3,95 Miliar","Veteran, Jakarta Selatan","3","2","1","147 m²","250 m²"
"Rp 25 Miliar","Pantai Indah Kapuk, Jakarta Utara","5","5","","785 m²","785 m²"
"Rp 408 Juta","Utan Kayu, Jakarta Timur","2","2","","18 m²","35 m²"
"Rp 19 Miliar","Pantai Indah Kapuk, Jakarta Utara","5","5","","390 m²","550 m²"
"Rp 4,8 Miliar","Jagakarsa, Jakarta Selatan","4","4","2","195 m²","290 m²"
"Rp 3,5 Miliar","Kelapa Gading, Jakarta Utara","4","4","2","90 m²","222 m²"
"Rp 5,5 Miliar","Jagakarsa, Jakarta Selatan","4","4","2","214 m²","350 m²"
"Rp 4,8 Miliar","Jagakarsa, Jakarta Selatan","5","4","2","195 m²","240 m²"
"Rp 32 Miliar","Pantai Indah Kapuk, Jakarta Utara","4","4","2","325 m²","600 m²"
