"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","hidden-sm","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"Rumah mewah murah 2 lantai akses mobil di jl kebembem jakarta timur","Jln Kebembem jakarta Timur, Cipinang, Jakarta Timur, DKI Jakarta","Rp","1,08141 M","3","3","69 m²","Hubungi","Rp 30.897.429 per m²","",""
"Dijual Rumah di  Taman Modern Jakarta Timur","Taman Modern, Jakarta Timur, DKI Jakarta","Rp","1,7 M","5","4","250 m²","Hubungi","Rp 9.444.444 per m²","",""
"Dijual rumah permata hijau blok A jakartaselatan","jl. Kalimaya, Permata Hijau, Jakarta Selatan, DKI Jakarta","Rp","44,11 M","4","4","1200 m²","Hubungi","Rp 55.068.664 per m²","",""
"Metland Menteng - Cluster Valeria","Jl. Hamengkubuwono IX, Cakung, Jakarta Timur, DKI Jakarta","Rp","1,495 M","3","2","160 m²","Hubungi","Rp 15.572.917 per m²","",""
"Thamrin City Cosmo Residence","Jl KH. Mas Mansyur, Tanah Abang, Jakarta, Tanah Abang, Jakarta Pusat, DKI Jakarta","Rp","8,5 jt","2","1","57 m²","Hubungi","Rp 146.552 per m²","",""
"Rumah 2 Lantai Bagus Lt 418 m2 Komplek Hankam Joglo Jakarta Barat","Kompleks Hankam Joglo Jakarta Barat, Joglo, Jakarta Barat, DKI Jakarta","Rp","6,2 M","5","4","345 m²","Hubungi","Rp 14.832.536 per m²","",""
"Murah Rumah 2 Lt Bagus Lt 113 m2 Saba Residence Joglo Jakarta Barat","Saba Residence Joglo Jakarta Barat, Joglo, Jakarta Barat, DKI Jakarta","Rp","2,275 M","4","4","120 m²","Hubungi","Rp 20.132.743 per m²","",""
"Rumah murah dengan luas tanah dalam cluster","Jl M Kahfi I, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","2,75 M","5","5","169 m²","Hubungi","Rp 16.176.471 per m²","",""
"Dijual cepat rumah permata hijau hitung tanah saja luas 1200m2","jl. opal permata hijau, Permata Hijau, Jakarta Selatan, DKI Jakarta","Rp","49,405 M","5","4","890 m²","Hubungi","Rp 41.000.000 per m²","",""
"Rumah Dijual Pejaten Barat Dalam Komplek","Mimosa, Pejaten, Jakarta Selatan, DKI Jakarta","Rp","5,5 M","5","4","200 m²","Hubungi","Rp 23.913.043 per m²","",""
"Tomang gelong baru timur rumah dijual","gelong baru timur 5, Gelong, Jakarta Barat, DKI Jakarta","Rp","3,7 M","4","3","170 m²","Hubungi","Rp 24.666.667 per m²","",""
"Rumah kokoh dalam komplek villa cinere mas","Villa cinere mas, Cinere, Jakarta Selatan, DKI Jakarta","Rp","4,8 M","6","5","350 m²","Hubungi","Rp 11.374.408 per m²","",""
"Cempaka putih barat","Cempaka Putih, Jakarta Pusat, DKI Jakarta","Rp","700 jt","2","1","35 m²","Hubungi","Rp 20.000.000 per m²","",""
