,area,bed,bath,location,price
95,72.0,3,2,Jakarta,1929580000
96,55.0,3,2,Jakarta,600000000
97,500.0,4,3,Jakarta,12500000
98,300.0,4,3,Jakarta,5000000000
99,370.0,4,3,Jakarta,8000000000
100,450.0,4,4,Jakarta,22000000000
101,147.0,5,4,Jakarta,5000000000
102,156.0,4,5,Jakarta,3100000000
103,156.0,4,4,Jakarta,2800000000
104,63.0,3,2,Jakarta,1650000000
105,88.0,3,3,Jakarta,1400000000
106,170.0,4,4,Jakarta,2400000000
107,153.0,6,5,Jakarta,2400000000
108,75.0,4,3,Jakarta,1700000000
109,75.0,4,3,Jakarta,1700000000
110,156.0,4,4,Jakarta,2900000000
111,250.0,4,3,Jakarta,3600000000
112,229.0,5,4,Jakarta,4700000000
113,45.0,2,2,Jakarta,2000000000
114,97.0,3,3,Jakarta,1500000000
115,70.0,3,2,Jakarta,1399000000
116,53.0,2,2,Jakarta,38587519561
117,280.0,4,3,Jakarta,4700000000
118,180.0,5,4,Jakarta,3531153600
119,65.0,3,2,Jakarta,38587519561
120,180.0,5,4,Jakarta,3148203600
121,170.0,3,3,Jakarta,2600000000
122,85.0,4,3,Jakarta,920000000
123,45.0,2,1,Jakarta,685000000
124,320.0,5,3,Jakarta,6000000000
125,65.0,4,3,Jakarta,920000000
126,65.0,4,3,Jakarta,920000000
127,85.0,4,3,Jakarta,920000000
128,65.0,4,3,Jakarta,920000000
129,93.0,3,2,Jakarta,1200000000
130,29.0,2,1,Jakarta,168000000
131,30.0,2,1,Jakarta,168000000
132,30.0,2,1,Jakarta,168000000
133,40.0,2,1,Jakarta,27200000
134,240.0,5,5,Jakarta,4800000000
135,607.0,6,7,Jakarta,11250000000
136,295.0,5,5,Jakarta,4800000000
137,350.0,4,3,Jakarta,7900000000
138,150.0,4,3,Jakarta,4000000000
139,90.0,3,2,Jakarta,1526200000
140,250.0,4,5,Jakarta,6600000000
141,150.0,4,3,Jakarta,2450000000
142,250.0,4,4,Jakarta,2000000000
143,95.0,4,2,Jakarta,1350000000
144,100.0,4,2,Jakarta,1395000000
145,110.0,4,2,Jakarta,1500000000
146,170.0,4,4,Jakarta,3700000000
147,140.0,3,3,Jakarta,3500000000
148,75.0,3,2,Jakarta,880000000
149,30.0,2,1,Jakarta,175533600
150,69.0,2,2,Jakarta,983100000
151,62.0,2,3,Jakarta,1157000000
152,75.0,3,2,Jakarta,800000000
153,75.0,3,2,Jakarta,800000000
154,42.0,2,1,Jakarta,558600000
155,70.0,2,3,Jakarta,1100000000
156,60.0,2,1,Jakarta,899000000
157,450.0,5,3,Jakarta,2500000000
158,67.0,3,3,Jakarta,1477000000
159,21.0,1,1,Jakarta,354000000
160,43.0,2,2,Jakarta,481000000
161,150.0,3,3,Jakarta,1850000000
162,22.0,1,1,Jakarta,324000000
163,42.0,2,2,Jakarta,440000000
164,1000.0,6,7,Jakarta,23000000000
165,800.0,7,7,Jakarta,12000000000
166,140.0,4,4,Jakarta,2640000000
167,70.0,2,1,Jakarta,630000000
168,120.0,3,2,Jakarta,2340000000
169,200.0,5,5,Jakarta,2460000000
170,70.0,2,1,Jakarta,1150000000
171,240.0,3,3,Jakarta,1560000000
172,200.0,5,3,Jakarta,2520000000
173,250.0,5,4,Jakarta,6700000000
174,220.0,6,3,Jakarta,7800000000
175,350.0,4,2,Jakarta,6500000000
176,540.0,6,9,Jakarta,12500000000
177,150.0,4,3,Jakarta,1900000000
178,300.0,4,2,Jakarta,9000000000
179,600.0,5,6,Jakarta,5500000000
180,650.0,5,6,Jakarta,18800000000
181,250.0,5,3,Jakarta,13500000000
182,215.0,3,3,Jakarta,25000000000
183,1000.0,5,4,Jakarta,18000000000
184,101.0,3,3,Jakarta,3500000000
185,243.0,5,4,Jakarta,15000000000
186,264.0,3,2,Jakarta,4500000000
187,68.0,2,2,Jakarta,1485000000
188,317.0,2,1,Jakarta,7500000000
189,400.0,4,4,Jakarta,7900000000
190,100.0,3,3,Jakarta,4000000000
191,100.0,4,3,Jakarta,2250000000
192,100.0,4,3,Jakarta,2400000000
193,210.0,4,4,Jakarta,4700000000
194,600.0,4,4,Jakarta,40000000000
195,105.0,3,3,Jakarta,2400000000
196,90.0,3,3,Jakarta,1500000000
197,592.0,5,4,Jakarta,16000000000
198,90.0,3,3,Jakarta,2500000000
199,68.0,3,3,Jakarta,1199000000
200,110.0,3,3,Jakarta,1700000000
201,435.0,5,5,Jakarta,18000000000
202,176.0,4,4,Jakarta,5350000000
203,209.0,5,5,Jakarta,5000000000
204,54.0,2,2,Jakarta,1300000000
205,170.0,4,4,Jakarta,3900000000
206,400.0,5,5,Jakarta,8900000000
