"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 875 Juta","Jati Asih, Bekasi","3","2","1","120 m²","65 m²"
"Rp 1,74 Miliar","Jatiwarna, Bekasi","3","2","1","72 m²","80 m²"
"Rp 1,18 Miliar","Cibubur, Bekasi","4","3","2","84 m²","77 m²"
"Rp 1,18 Miliar","Jatisampurna, Bekasi","4","4","2","105 m²","84 m²"
"Rp 1,4 Miliar","Grand Wisata, Bekasi","4","3","1","105 m²","150 m²"
"Rp 4,15 Miliar","Jatiwaringin, Bekasi","5","3","2","487 m²","440 m²"
"Rp 900 Juta","Bekasi Kota, Bekasi","2","2","1","60 m²","50 m²"
"Rp 2,5 Miliar","Jatisampurna, Bekasi","4","3","2","120 m²","190 m²"
"Rp 845 Juta","Pondok Gede, Bekasi","3","2","1","63 m²","75 m²"
"Rp 2,4 Miliar","Cibubur, Bekasi","2","1","2","1520 m²","90 m²"
"Rp 455 Juta","Setu, Bekasi","2","1","1","85 m²","41 m²"
"Rp 620 Juta","Jati Asih, Bekasi","2","1","1","72 m²","50 m²"
"Rp 1,3 Miliar","Margahayu, Bekasi","6","3","1","123 m²","140 m²"
"Rp 590 Juta","Jati Asih, Bekasi","2","1","1","110 m²","70 m²"
"Rp 799 Juta","Jatibening, Bekasi","2","1","1","92 m²","48 m²"
"Rp 1,18 Miliar","Jatisampurna, Bekasi","3","3","2","84 m²","77 m²"
"Rp 967 Juta","Cikarang Selatan, Bekasi","3","3","1","82 m²","68 m²"
"Rp 900 Juta","Jati Asih, Bekasi","3","2","1","72 m²","80 m²"
"Rp 849 Juta","Jati Asih, Bekasi","3","2","2","70 m²","90 m²"
"Rp 1,2 Miliar","Cikarang Selatan, Bekasi","5","2","","240 m²","150 m²"
"Rp 880 Juta","Jati Asih, Bekasi","3","2","1","75 m²","66 m²"
"Rp 695 Juta","Jati Asih, Bekasi","2","2","1","65 m²","58 m²"
"Rp 465 Juta","Jati Asih, Bekasi","2","1","1","60 m²","36 m²"
"","","2","1","","60 m²","29 m²"
"","","2","1","2","60 m²","29 m²"
"","","2","1","2","60 m²","25 m²"
"Rp 435 Juta","Jati Asih, Bekasi","2","1","1","61 m²","40 m²"
"Rp 2,2 Miliar","Grand Wisata, Bekasi","4","4","2","160 m²","127 m²"
"Rp 1,3 Miliar","Harapan Indah, Bekasi","2","1","1","126 m²","90 m²"
"Rp 1,45 Miliar","Harapan Indah, Bekasi","2","2","1","108 m²","69 m²"
"Rp 2,5 Miliar","Bekasi, Bekasi","3","3","","144 m²","149 m²"
"Rp 925 Juta","Bekasi, Bekasi","3","2","","90 m²","80 m²"
"Rp 2,95 Miliar","Harapan Indah, Bekasi","3","3","","341 m²","177 m²"
"Rp 3,9 Miliar","Pondok Gede, Bekasi","3","3","4","238 m²","200 m²"
"Rp 2,6 Miliar","Kemang Pratama, Bekasi","4","2","2","324 m²","160 m²"
"Rp 1,18 Miliar","Jatisampurna, Bekasi","4","4","2","105 m²","84 m²"
"Rp 1,65 Miliar","Harapan Indah, Bekasi","2","2","1","179 m²","56 m²"
"Rp 443 Juta","Bekasi, Bekasi","2","1","1","60 m²","32 m²"
"Rp 770 Juta","Cibubur, Bekasi","","","","147 m²","100 m²"
"Rp 1,62 Miliar","Jatisampurna, Bekasi","3","2","1","72 m²","116 m²"
"Rp 290 Juta","Babelan, Bekasi","2","1","","60 m²","45 m²"
"Rp 2,22 Miliar","Jatisampurna, Bekasi","4","3","1","120 m²","200 m²"
"Rp 1,18 Miliar","Jatirangga, Bekasi","4","3","2","77 m²","84 m²"
"Rp 2 Miliar","Bekasi, Bekasi","4","5","1","162 m²","234 m²"
"Rp 600 Juta","Bantar Gebang, Bekasi","2","1","1","100 m²","100 m²"
"Rp 2,47 Miliar","Summarecon Bekasi, Bekasi","3","3","2","144 m²","155 m²"
"Rp 550 Juta","Tambun Selatan, Bekasi","2","2","1","48 m²","65 m²"
"Rp 2,98 Miliar","Summarecon Bekasi, Bekasi","4","3","","239 m²","272 m²"
"Rp 950 Juta","Harapan Baru, Bekasi","2","1","2","103 m²","80 m²"
"Rp 1,66 Miliar","Harapan Indah, Bekasi","3","2","1","126 m²","150 m²"
"Rp 425 Juta","Babelan, Bekasi","2","1","","60 m²","55 m²"
"Rp 1,53 Miliar","Bekasi Timur, Bekasi","3","3","","96 m²","73 m²"
"Rp 1,98 Miliar","Jatiwaringin, Bekasi","3","4","2","108 m²","165 m²"
"Rp 1,32 Miliar","Jatibening, Bekasi","3","2","1","82 m²","100 m²"
"Rp 4,29 Miliar","Jatimakmur, Bekasi","5","4","2","183 m²","136 m²"
"Rp 5,3 Miliar","Kalimalang, Bekasi","5","4","2","530 m²","550 m²"
"Rp 1,8 Miliar","Bekasi Utara, Bekasi","3","2","2","120 m²","150 m²"
"Rp 525 Juta","Bekasi Kota, Bekasi","3","1","1","72 m²","42 m²"
"Rp 510 Juta","Bekasi Kota, Bekasi","2","1","1","70 m²","38 m²"
"Rp 1,47 Miliar","Cikarang, Bekasi","2","2","1","84 m²","62 m²"
"Rp 1,1 Miliar","Jatiwarna, Bekasi","3","3","1","180 m²","172 m²"
"Rp 595 Juta","Tambun Selatan, Bekasi","3","2","","104 m²","60 m²"
"Rp 300 Juta","Kebalen, Bekasi","2","1","1","60 m²","36 m²"
"Rp 435 Juta","Jati Asih, Bekasi","2","1","1","60 m²","41 m²"
"Rp 500 Juta","Bekasi Barat, Bekasi","3","2","2","72 m²","55 m²"
