"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 1,05 Miliar","Cimanggis, Depok","5","2","1","83 m²","154 m²"
"Rp 725 Juta","Tapos, Depok","2","1","1","96 m²","71 m²"
"Rp 1,56 Miliar","Sukmajaya, Depok","3","3","1","115 m²","145 m²"
"Rp 660 Juta","Cipayung, Depok","2","1","","80 m²","45 m²"
"Rp 900 Juta","Sukmajaya, Depok","2","2","1","90 m²","45 m²"
"Rp 1,5 Miliar","Limo, Depok","4","3","2","151 m²","150 m²"
"Rp 699 Juta","Sawangan, Depok","1","1","1","72 m²","43 m²"
"Rp 1,8 Miliar","Beji, Depok","3","3","","106 m²","150 m²"
"Rp 2,99 Miliar","Cimanggis, Depok","4","4","1","232 m²","150 m²"
"Rp 1,8 Miliar","Margonda, Depok","3","3","1","106 m²","150 m²"
"Rp 1,2 Miliar","Sawangan, Depok","3","3","1","120 m²","100 m²"
"Rp 2,52 Miliar","Cinere, Depok","4","3","1","150 m²","200 m²"
"Rp 1,41 Miliar","Cinere, Depok","3","3","1","180 m²","112 m²"
"Rp 870 Juta","Bojong Sari, Depok","3","1","1","131 m²","140 m²"
"Rp 2,04 Miliar","Cimanggis, Depok","3","2","1","130 m²","121 m²"
"Rp 990 Juta","Sukatani, Depok","2","1","1","105 m²","60 m²"
"Rp 780 Juta","Cilodong, Depok","3","1","1","98 m²","68 m²"
"Rp 899 Juta","Tapos, Depok","2","1","1","105 m²","60 m²"
"Rp 1,26 Miliar","Bojong Sari, Depok","3","2","1","164 m²","95 m²"
"Rp 1,92 Miliar","Cinere, Depok","2","3","1","167 m²","160 m²"
"Rp 4,2 Miliar","Sukmajaya, Depok","3","4","1","194 m²","120 m²"
"Rp 1,56 Miliar","Sawangan, Depok","3","2","2","109 m²","90 m²"
"Rp 2,04 Miliar","Limo, Depok","2","2","1","113 m²","150 m²"
"Rp 1,56 Miliar","Cilodong, Depok","3","2","1","72 m²","90 m²"
"Rp 1,56 Miliar","Limo, Depok","3","3","1","72 m²","140 m²"
"Rp 1,05 Miliar","Cimanggis, Depok","3","2","1","83 m²","154 m²"
"Rp 901 Juta","Cinere, Depok","3","3","1","101 m²","78 m²"
"Rp 300 Juta","Sawangan, Depok","2","1","1","60 m²","40 m²"
"Rp 799 Juta","Pancoran Mas, Depok","3","2","","75 m²","70 m²"
"Rp 6,5 Miliar","Cinere, Depok","5","5","2","468 m²","400 m²"
"Rp 1,8 Miliar","Sukmajaya, Depok","3","3","","106 m²","150 m²"
"Rp 1,95 Miliar","Harjamukti, Depok","3","3","2","125 m²","136 m²"
"Rp 1,8 Miliar","Sukmajaya, Depok","3","3","1","106 m²","150 m²"
"Rp 1,2 Miliar","Rangkapanjaya, Depok","3","3","","120 m²","100 m²"
"Rp 1,4 Miliar","Cinere, Depok","3","2","","78 m²","120 m²"
"Rp 899 Juta","Tapos, Depok","2","1","","105 m²","60 m²"
"Rp 1,26 Miliar","Bojong Sari, Depok","3","2","1","164 m²","95 m²"
"Rp 1,98 Miliar","Limo, Depok","3","2","","95 m²","105 m²"
"Rp 780 Juta","Bojong Sari, Depok","2","1","1","72 m²","42 m²"
"Rp 1,02 Miliar","Bojong Sari, Depok","2","2","1","84 m²","40 m²"
"Rp 1,8 Miliar","Sukmajaya, Depok","3","3","","106 m²","150 m²"
"Rp 2,04 Miliar","Sukmajaya, Depok","3","3","1","150 m²","115 m²"
"Rp 1,32 Miliar","Sawangan, Depok","3","2","1","90 m²","160 m²"
"Rp 1,02 Miliar","Tapos, Depok","3","2","1","120 m²","140 m²"
"Rp 4,75 Miliar","Kukusan, Depok","3","2","2","457 m²","240 m²"
"Rp 638 Juta","Cilodong, Depok","2","2","","52 m²","55 m²"
"Rp 1,3 Miliar","Cinere, Depok","2","3","1","78 m²","123 m²"
"Rp 1,45 Miliar","Tanah Baru, Depok","3","3","2","98 m²","130 m²"
"Rp 250 Juta","Citayam, Depok","2","1","1","60 m²","36 m²"
"Rp 585 Juta","Cinere, Depok","3","2","","134 m²","70 m²"
"Rp 4,9 Miliar","Cinere, Depok","4","4","","756 m²","500 m²"
"Rp 1,15 Miliar","Limo, Depok","2","2","2","78 m²","85 m²"
"Rp 200 Juta","Sawangan, Depok","2","1","1","50 m²","36 m²"
"Rp 2,3 Miliar","Pancoran Mas, Depok","4","3","4","207 m²","170 m²"
"Rp 695 Juta","Sukmajaya, Depok","3","2","","60 m²","90 m²"
"Rp 580 Juta","Sawangan, Depok","2","1","1","109 m²","36 m²"
"Rp 670 Juta","Cimanggis, Depok","2","1","2","92 m²","45 m²"
"Rp 335 Juta","Sawangan, Depok","2","1","1","60 m²","40 m²"
"Rp 2,25 Miliar","Cinere, Depok","4","3","2","154 m²","302 m²"
"Rp 1,9 Miliar","Cimanggis, Depok","3","4","","338 m²","291 m²"
"Rp 580 Juta","Depok II, Depok","2","1","1","56 m²","50 m²"
"Rp 300 Juta","Cilodong, Depok","2","1","1","60 m²","36 m²"
"Rp 4 Miliar","Cinere, Depok","5","3","2","425 m²","236 m²"
"Rp 4,9 Miliar","Cinere, Depok","4","3","2","756 m²","500 m²"
"Rp 525 Juta","Cinangka, Depok","2","1","1","60 m²","45 m²"
"Rp 560 Juta","Pancoran Mas, Depok","3","2","1","55 m²","47 m²"
"Rp 3,5 Miliar","Cinere, Depok","6","4","1","321 m²","500 m²"
"Rp 1,55 Miliar","Cinangka, Depok","3","3","2","84 m²","104 m²"
"Rp 485 Juta","Cisalak, Depok","2","1","","72 m²","50 m²"
"Rp 350 Juta","Pancoran Mas, Depok","2","1","1","60 m²","40 m²"
"Rp 485 Juta","Sawangan, Depok","2","1","1","72 m²","42 m²"
"Rp 525 Juta","Sawangan, Depok","2","1","1","73 m²","45 m²"
"Rp 372 Juta","Citayam, Depok","2","1","1","75 m²","27 m²"
"Rp 650 Juta","Sawangan, Depok","3","1","1","119 m²","80 m²"
"Rp 550 Juta","Cinangka, Depok","2","1","1","72 m²","50 m²"
"Rp 625 Juta","Pancoran Mas, Depok","2","1","1","75 m²","55 m²"
"Rp 750 Juta","Pancoran Mas, Depok","3","2","1","103 m²","60 m²"
"Rp 675 Juta","Pancoran Mas, Depok","2","1","1","70 m²","50 m²"
"Rp 950 Juta","Cipayung, Depok","2","1","1","120 m²","57 m²"
"Rp 1,2 Miliar","Kelapa Dua, Depok","4","3","1","117 m²","165 m²"
"Rp 1,43 Miliar","Tanah Baru, Depok","4","2","1","100 m²","90 m²"
"Rp 1,6 Miliar","Kukusan, Depok","3","3","2","92 m²","120 m²"
"Rp 3,7 Miliar","Sawangan, Depok","4","4","2","187 m²","184 m²"
"Rp 925 Juta","Cilodong, Depok","3","3","1","80 m²","80 m²"
"Rp 660 Juta","Cilodong, Depok","2","1","","78 m²","36 m²"
"Rp 885 Juta","Cinangka, Depok","3","3","1","54 m²","85 m²"
"Rp 27,5 Miliar","Cinere, Depok","5","4","10","2425 m²","700 m²"
"Rp 1,2 Miliar","Sukmajaya, Depok","3","2","1","131 m²","134 m²"
"Rp 335 Juta","Beji, Depok","2","1","1","65 m²","45 m²"
"Rp 350 Juta","Pancoran Mas, Depok","2","1","1","90 m²","40 m²"
"Rp 1,28 Miliar","Tanah Baru, Depok","3","2","1","82 m²","122 m²"
"Rp 775 Juta","Cinangka, Depok","3","2","1","91 m²","75 m²"
"Rp 650 Juta","Rangkapanjaya, Depok","2","1","1","80 m²","40 m²"
"Rp 285 Juta","Pancoran Mas, Depok","1","1","","14 m²","28 m²"
"Rp 831 Juta","Sukmajaya, Depok","3","2","2","60 m²","51 m²"
"Rp 890 Juta","Cilodong, Depok","3","3","","87 m²","90 m²"
"Rp 650 Juta","Cilodong, Depok","2","1","2","83 m²","50 m²"
"Rp 680 Juta","Cinangka, Depok","2","1","1","70 m²","45 m²"
"Rp 1,01 Miliar","Cinangka, Depok","3","2","1","70 m²","115 m²"
"Rp 800 Juta","Krukut, Depok","3","2","1","80 m²","70 m²"
"Rp 270 Juta","Pasir Putih, Depok","2","1","1","50 m²","36 m²"
"Rp 3,2 Miliar","Kukusan, Depok","4","3","1","268 m²","140 m²"
"Rp 3,3 Miliar","Cimanggis, Depok","5","4","2","280 m²","400 m²"
"Rp 2,28 Miliar","Sawangan, Depok","3","3","2","110 m²","103 m²"
"Rp 1,67 Miliar","Sawangan, Depok","3","2","2","96 m²","103 m²"
"Rp 1,41 Miliar","Sawangan, Depok","3","2","2","84 m²","85 m²"
"Rp 1,33 Miliar","Sawangan, Depok","2","2","2","84 m²","75 m²"
"Rp 1,94 Miliar","Sawangan, Depok","2","2","1","106 m²","75 m²"
"Rp 2,79 Miliar","Sawangan, Depok","4","4","2","129 m²","120 m²"
"Rp 1,33 Miliar","Sawangan, Depok","3","3","2","84 m²","75 m²"
"Rp 1,9 Miliar","Cinere, Depok","4","2","2","120 m²","160 m²"
"Rp 4,5 Miliar","Cinere, Depok","4","3","","387 m²","175 m²"
"","","2","2","2","50 m²","90 m²"
"Rp 887 Juta","Cilodong, Depok","2","2","1","72 m²","51 m²"
"Rp 1,4 Miliar","Cinere, Depok","3","3","2","159 m²","120 m²"
"Rp 995 Juta","Cilodong, Depok","3","3","2","95 m²","100 m²"
"Rp 950 Juta","Tanah Baru, Depok","4","3","1","85 m²","110 m²"
"Rp 940 Juta","Cinangka, Depok","3","3","1","88 m²","120 m²"
"Rp 775 Juta","Cinangka, Depok","3","2","1","91 m²","70 m²"
"Rp 1,65 Miliar","Cinere, Depok","2","2","2","108 m²","150 m²"
"Rp 785 Juta","Bojong Sari, Depok","3","2","1","84 m²","70 m²"
"Rp 3,8 Miliar","Cinere, Depok","4","3","","250 m²","350 m²"
"Rp 1,2 Miliar","Cinere, Depok","2","2","1","132 m²","90 m²"
"Rp 645 Juta","Cilodong, Depok","2","1","","78 m²","50 m²"
"Rp 901 Juta","Sawangan, Depok","3","3","1","101 m²","78 m²"
"Rp 901 Juta","Sawangan, Depok","3","3","1","101 m²","91 m²"
"Rp 1,11 Miliar","Sawangan, Depok","4","3","2","91 m²","101 m²"
"Rp 1,65 Miliar","Cinere, Depok","4","3","","140 m²","200 m²"
