km-tidur,km-mandi,garasi,bangunan,tanah,lokasi,harga
3,2,0,150.0,117.0,Jakarta,2500000000
3,3,1,100.0,75.0,Jakarta,2350000000
4,3,2,168.0,112.0,Jakarta,2950000000
6,4,2,350.0,475.0,Jakarta,11000000000
4,5,2,1100.0,986.0,Jakarta,33000000000
3,2,0,120.0,97.0,Jakarta,2340000000
3,3,0,1000.0,725.0,Jakarta,29500000000
13,5,2,350.0,441.0,Jakarta,35000000000
3,2,1,101.0,72.0,Jakarta,1570000000
4,4,2,500.0,390.0,Jakarta,18800000000
8,4,5,485.0,336.0,Jakarta,23500000000
5,1,0,200.0,158.0,Jakarta,2900000000
3,3,0,122.0,105.0,Jakarta,3500000000
4,4,2,500.0,360.0,Jakarta,14000000000
3,3,0,120.0,84.0,Jakarta,2100000000
3,2,1,90.0,75.0,Jakarta,1050000000
5,5,0,1000.0,880.0,Jakarta,73000000000
3,3,0,200.0,144.0,Jakarta,4750000000
6,4,2,300.0,450.0,Jakarta,14000000000
5,4,1,670.0,300.0,Jakarta,8250000000
4,5,2,540.0,306.0,Jakarta,9300000000
3,2,2,250.0,263.0,Jakarta,11500000000
6,5,0,250.0,250.0,Jakarta,8100000000
4,4,0,400.0,220.0,Jakarta,4200000000
4,3,3,300.0,264.0,Jakarta,9200000000
4,4,2,550.0,410.0,Jakarta,21500000000
4,4,2,268.0,245.0,Jakarta,21500000000
6,4,0,390.0,450.0,Jakarta,7600000000
2,2,0,260.0,180.0,Jakarta,7500000000
5,5,4,600.0,928.0,Jakarta,13000000000
3,2,2,80.0,65.0,Jakarta,1170000000
3,3,0,130.0,61.0,Jakarta,2100000000
6,6,2,550.0,477.0,Jakarta,12000000000
6,7,0,2700.0,4260.0,Jakarta,265000000000
4,4,2,290.0,195.0,Jakarta,4800000000
5,5,1,162.0,90.0,Jakarta,2400000000
3,3,0,300.0,185.0,Jakarta,6500000000
5,3,0,305.0,385.0,Jakarta,12000000000
2,2,2,185.0,175.0,Jakarta,6250000000
3,3,1,250.0,256.0,Jakarta,6750000000
3,2,0,250.0,450.0,Jakarta,4000000000
4,3,0,275.0,128.0,Jakarta,4500000000
5,4,2,150.0,132.0,Jakarta,4000000000
3,3,0,165.0,60.0,Jakarta,2000000000
5,4,4,550.0,369.0,Jakarta,18000000000
3,3,1,200.0,136.0,Jakarta,3990000000
9,9,0,350.0,192.0,Jakarta,4900000000
4,4,0,1000.0,450.0,Jakarta,26000000000
4,5,2,750.0,525.0,Jakarta,8000000000
4,6,3,600.0,425.0,Jakarta,9200000000
3,3,0,300.0,230.0,Jakarta,8850000000
3,2,1,250.0,200.0,Jakarta,5800000000
2,2,1,76.0,48.0,Jakarta,1180000000
3,3,1,200.0,160.0,Jakarta,5700000000
4,4,1,140.0,110.0,Jakarta,2640000000
4,4,2,607.0,247.0,Jakarta,11200000000
2,2,0,150.0,70.0,Jakarta,1800000000
5,6,0,500.0,320.0,Jakarta,11000000000
5,5,4,1500.0,1305.0,Jakarta,175000000000
3,3,0,160.0,92.0,Jakarta,2000000000
4,3,0,230.0,155.0,Jakarta,5500000000
4,4,2,400.0,200.0,Jakarta,4750000000
7,8,2,548.0,733.0,Jakarta,45000000000
5,3,0,120.0,1076.0,Jakarta,82800000000
2,1,1,35.0,17.0,Jakarta,11843707482
2,2,0,150.0,63.0,Jakarta,1900000000
3,2,0,130.0,67.0,Jakarta,1750000000
3,2,1,88.0,77.0,Jakarta,1400000000
4,2,5,500.0,732.0,Jakarta,16000000000
3,3,0,65.0,69.0,Jakarta,11843707482
