km-tidur,km-mandi,garasi,bangunan,tanah,lokasi,umr,jlh-pdk,harga
6,5,0,180,112,Jakarta,4641957,11249688,3350000000
6,6,1,420,200,Jakarta,4641958,11249689,7500000000
6,7,1,177,117,Jakarta,4641959,11249690,2600000000
6,7,2,1000,455,Jakarta,4641960,11249691,26900000000
6,6,0,170,120,Jakarta,4641961,11249692,4000000000
6,6,1,350,200,Jakarta,4641962,11249693,7300000000
6,2,2,200,440,Jakarta,4641963,11249694,5900000000
6,4,2,170,120,Jakarta,4641964,11249695,3950000000
6,6,1,300,250,Jakarta,4641965,11249696,12500000000
6,6,1,150,100,Jakarta,4641966,11249697,3150000000
6,5,2,156,128,Jakarta,4641967,11249698,3100000000
6,6,0,250,144,Jakarta,4641968,11249699,4900000000
6,3,2,170,112,Jakarta,4641969,11249700,3350000000
6,5,0,400,323,Jakarta,4641970,11249701,19500000000
6,6,1,250,256,Jakarta,4641971,11249702,6750000000
6,4,1,110,45,Jakarta,4641972,11249703,1690000000
6,5,2,200,120,Jakarta,4641973,11249704,3000000000
6,6,0,50,44,Jakarta,4641974,11249705,1150000000
6,4,1,146,75,Jakarta,4641975,11249706,2600000000
6,2,1,122,55,Jakarta,4641976,11249707,2300000000
6,5,2,600,486,Jakarta,4641977,11249708,25000000000
6,6,0,150,75,Jakarta,4641978,11249709,2600000000
6,5,0,115,55,Jakarta,4641979,11249710,2300000000
6,8,0,185,120,Jakarta,4641980,11249711,3000000000
6,5,1,105,56,Jakarta,4641981,11249712,1750000000
6,5,0,31,16,Jakarta,4641982,11249713,11843707482
6,3,0,800,672,Jakarta,4641983,11249714,16000000000
6,3,2,290,300,Jakarta,4641984,11249715,10500000000
6,7,0,500,320,Jakarta,4641985,11249716,11000000000
6,5,0,260,180,Jakarta,4641986,11249717,7500000000
6,4,0,400,220,Jakarta,4641987,11249718,4200000000
6,8,1,250,147,Jakarta,4641988,11249719,3950000000
6,7,0,785,785,Jakarta,4641989,11249720,25000000000
6,6,0,35,18,Jakarta,4641990,11249721,11843707482
